COD UF;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
11;Alta Floresta D'Oeste;22516
11;Ariquemes;111148
11;Cabixi;5067
11;Cacoal;86416
11;Cerejeiras;16088
11;Colorado do Oeste;15213
11;Corumbiara;7052
11;Costa Marques;19255
11;Espigão D'Oeste;33009
11;Guajará-Mirim;46930
11;Jaru;51469
11;Ji-Paraná;131026
11;Machadinho D'Oeste;41724
11;Nova Brasilândia D'Oeste;20504
11;Ouro Preto do Oeste;35445
11;Pimenta Bueno;37098
11;Porto Velho;548952
11;Presidente Médici;18165
11;Rio Crespo;3843
11;Rolim de Moura;55748
11;Santa Luzia D'Oeste;5942
11;Vilhena;104517
11;São Miguel do Guaporé;23147
11;Nova Mamoré;32184
11;Alvorada D'Oeste;13807
11;Alto Alegre dos Parecis;13268
11;Alto Paraíso;22258
11;Buritis;41043
11;Novo Horizonte do Oeste;8125
11;Cacaulândia;6307
11;Campo Novo de Rondônia;14391
11;Candeias do Jamari;28068
11;Castanheiras;2923
11;Chupinguaia;11755
11;Cujubim;27131
11;Governador Jorge Teixeira;7130
11;Itapuã do Oeste;10819
11;Ministro Andreazza;9461
11;Mirante da Serra;10691
11;Monte Negro;16158
11;Nova União;6822
11;Parecis;6319
11;Pimenteiras do Oeste;2127
11;Primavera de Rondônia;2697
11;São Felipe D'Oeste;4962
11;São Francisco do Guaporé;21088
11;Seringueiras;11846
11;Teixeirópolis;4160
11;Theobroma;10348
11;Urupá;11081
11;Vale do Anari;11545
11;Vale do Paraíso;6490
12;Acrelândia;15721
12;Assis Brasil;7649
12;Brasiléia;27123
12;Bujari;10572
12;Capixaba;12280
12;Cruzeiro do Sul;89760
12;Epitaciolândia;18979
12;Feijó;34986
12;Jordão;8628
12;Mâncio Lima;19643
12;Manoel Urbano;9701
12;Marechal Thaumaturgo;19727
12;Plácido de Castro;20147
12;Porto Walter;12497
12;Rio Branco;419452
12;Rodrigues Alves;19767
12;Santa Rosa do Purus;6893
12;Senador Guiomard;23446
12;Sena Madureira;47168
12;Tarauacá;43730
12;Xapuri;19866
12;Porto Acre;19141
13;Alvarães;16396
13;Amaturá;11934
13;Anamã;14292
13;Anori;21937
13;Apuí;22739
13;Atalaia do Norte;20868
13;Autazes;41005
13;Barcelos;27772
13;Barreirinha;32919
13;Benjamin Constant;44873
13;Beruri;20503
13;Boa Vista do Ramos;20040
13;Boca do Acre;34958
13;Borba;42328
13;Caapiranga;13482
13;Canutama;15981
13;Carauari;28719
13;Careiro;38820
13;Careiro da Várzea;31459
13;Coari;86713
13;Codajás;29691
13;Eirunepé;36121
13;Envira;20748
13;Fonte Boa;16409
13;Guajará;17193
13;Humaitá;57195
13;Ipixuna;31172
13;Iranduba;49718
13;Itacoatiara;104046
13;Itamarati;7777
13;Itapiranga;9312
13;Japurá;1755
13;Juruá;15495
13;Jutaí;13462
13;Lábrea;47685
13;Manacapuru;99613
13;Manaquiri;33981
13;Manaus;2255903
13;Manicoré;57405
13;Maraã;18298
13;Maués;66159
13;Nhamundá;21710
13;Nova Olinda do Norte;38665
13;Novo Airão;20395
13;Novo Aripuanã;26443
13;Parintins;116439
13;Pauini;19616
13;Presidente Figueiredo;38095
13;Rio Preto da Eva;34856
13;Santa Isabel do Rio Negro;26566
13;Santo Antônio do Içá;20889
13;São Gabriel da Cachoeira;47031
13;São Paulo de Olivença;40837
13;São Sebastião do Uatumã;14678
13;Silves;9289
13;Tabatinga;68502
13;Tapauá;16876
13;Tefé;59250
13;Tonantins;19038
13;Uarini;13839
13;Urucará;16007
13;Urucurituba;24098
14;Amajari;13561
14;Alto Alegre;15249
14;Boa Vista;436591
14;Bonfim;12701
14;Cantá;19257
14;Caracaraí;22635
14;Caroebe;10595
14;Iracema;12637
14;Mucajaí;18482
14;Normandia;11772
14;Pacaraima;20108
14;Rorainópolis;31387
14;São João da Baliza;8492
14;São Luiz;8232
14;Uiramutã;11014
15;Abaetetuba;160439
15;Abel Figueiredo;7536
15;Acará;55744
15;Afuá;39910
15;Água Azul do Norte;27797
15;Alenquer;57390
15;Almeirim;34044
15;Altamira;117320
15;Anajás;30091
15;Ananindeua;540410
15;Anapu;29312
15;Augusto Corrêa;46937
15;Aurora do Pará;32200
15;Aveiro;16421
15;Bagre;31967
15;Baião;49454
15;Bannach;3239
15;Barcarena;129333
15;Belém;1506420
15;Belterra;17944
15;Benevides;64780
15;Bom Jesus do Tocantins;17254
15;Bonito;16769
15;Bragança;130122
15;Brasil Novo;14883
15;Brejo Grande do Araguaia;7357
15;Breu Branco;68597
15;Breves;104280
15;Bujaru;29717
15;Cachoeira do Piriá;35307
15;Cachoeira do Arari;24355
15;Cametá;140814
15;Canaã dos Carajás;39103
15;Capanema;69828
15;Capitão Poço;54545
15;Castanhal;205667
15;Chaves;24175
15;Colares;12175
15;Conceição do Araguaia;48115
15;Concórdia do Pará;34236
15;Cumaru do Norte;14044
15;Curionópolis;17764
15;Curralinho;35530
15;Curuá;14776
15;Curuçá;41093
15;Dom Eliseu;61206
15;Eldorado do Carajás;34069
15;Faro;6949
15;Floresta do Araguaia;20742
15;Garrafão do Norte;26155
15;Goianésia do Pará;41678
15;Gurupá;34127
15;Igarapé-Açu;39234
15;Igarapé-Miri;63367
15;Inhangapi;12009
15;Ipixuna do Pará;67170
15;Irituia;32639
15;Itaituba;101541
15;Itupiranga;53439
15;Jacareacanga;6952
15;Jacundá;60517
15;Juruti;59961
15;Limoeiro do Ajuru;29623
15;Mãe do Rio;30389
15;Magalhães Barata;8598
15;Marabá;287664
15;Maracanã;29559
15;Marapanim;28563
15;Marituba;135812
15;Medicilândia;32347
15;Melgaço;28121
15;Mocajuba;31917
15;Moju;84251
15;Mojuí dos Campos;16282
15;Monte Alegre;58289
15;Muaná;41454
15;Nova Esperança do Piriá;21519
15;Nova Ipixuna;17027
15;Nova Timboteua;15646
15;Novo Progresso;25769
15;Novo Repartimento;78488
15;Óbidos;52473
15;Oeiras do Pará;33182
15;Oriximiná;74921
15;Ourém;18079
15;Ourilândia do Norte;33831
15;Pacajá;49110
15;Palestina do Pará;7575
15;Paragominas;115838
15;Parauapebas;218787
15;Pau D'Arco;5339
15;Peixe-Boi;8084
15;Piçarra;12976
15;Placas;32325
15;Ponta de Pedras;32007
15;Portel;63831
15;Porto de Moz;42456
15;Prainha;29827
15;Primavera;10889
15;Quatipuru;13794
15;Redenção;86326
15;Rio Maria;18208
15;Rondon do Pará;53242
15;Rurópolis;52473
15;Salinópolis;41164
15;Salvaterra;24392
15;Santa Bárbara do Pará;21811
15;Santa Cruz do Arari;10496
15;Santa Izabel do Pará;72856
15;Santa Luzia do Pará;19839
15;Santa Maria das Barreiras;22244
15;Santa Maria do Pará;25127
15;Santana do Araguaia;75995
15;Santarém;308339
15;Santarém Novo;6796
15;Santo Antônio do Tauá;32346
15;São Caetano de Odivelas;18207
15;São Domingos do Araguaia;25945
15;São Domingos do Capim;32285
15;São Félix do Xingu;135732
15;São Francisco do Pará;15978
15;São Geraldo do Araguaia;24566
15;São João da Ponta;6294
15;São João de Pirabas;23440
15;São João do Araguaia;14105
15;São Miguel do Guamá;60268
15;São Sebastião da Boa Vista;27302
15;Sapucaia;6088
15;Senador José Porfírio;11305
15;Soure;25752
15;Tailândia;111554
15;Terra Alta;11971
15;Terra Santa;19063
15;Tomé-Açu;64604
15;Tracuateua;31549
15;Trairão;19344
15;Tucumã;40661
15;Tucuruí;116605
15;Ulianópolis;62286
15;Uruará;45395
15;Vigia;54650
15;Viseu;62093
15;Vitória do Xingu;15421
15;Xinguara;45416
16;Serra do Navio;5577
16;Amapá;9265
16;Pedra Branca do Amapari;17625
16;Calçoene;11493
16;Cutias;6217
16;Ferreira Gomes;8151
16;Itaubal;5730
16;Laranjal do Jari;52302
16;Macapá;522357
16;Mazagão;22468
16;Oiapoque;28534
16;Porto Grande;22927
16;Pracuúba;5370
16;Santana;124808
16;Tartarugalzinho;18217
16;Vitória do Jari;16572
17;Abreulândia;2609
17;Aguiarnópolis;7049
17;Aliança do Tocantins;5303
17;Almas;6905
17;Alvorada;8381
17;Ananás;9435
17;Angico;3475
17;Aparecida do Rio Negro;4901
17;Aragominas;5705
17;Araguacema;7223
17;Araguaçu;8418
17;Araguaína;186245
17;Araguanã;5856
17;Araguatins;36573
17;Arapoema;6590
17;Arraias;10502
17;Augustinópolis;18870
17;Aurora do Tocantins;3809
17;Axixá do Tocantins;9817
17;Babaçulândia;10668
17;Bandeirantes do Tocantins;3631
17;Barra do Ouro;4673
17;Barrolândia;5669
17;Bernardo Sayão;4439
17;Bom Jesus do Tocantins;5120
17;Brasilândia do Tocantins;2221
17;Brejinho de Nazaré;5540
17;Buriti do Tocantins;11644
17;Cachoeirinha;2293
17;Campos Lindos;10505
17;Cariri do Tocantins;4499
17;Carmolândia;2627
17;Carrasco Bonito;4165
17;Caseara;5514
17;Centenário;2966
17;Chapada de Areia;1415
17;Chapada da Natividade;3330
17;Colinas do Tocantins;36271
17;Combinado;4870
17;Conceição do Tocantins;4070
17;Couto Magalhães;5690
17;Cristalândia;7268
17;Crixás do Tocantins;1749
17;Darcinópolis;6250
17;Dianópolis;22704
17;Divinópolis do Tocantins;6986
17;Dois Irmãos do Tocantins;7173
17;Dueré;4686
17;Esperantina;11280
17;Fátima;3824
17;Figueirópolis;5222
17;Filadélfia;8892
17;Formoso do Araguaia;18358
17;Tabocão;2615
17;Goianorte;5136
17;Goiatins;13169
17;Guaraí;26403
17;Gurupi;88428
17;Ipueiras;2088
17;Itacajá;7471
17;Itaguatins;5801
17;Itapiratins;3814
17;Itaporã do Tocantins;2412
17;Jaú do Tocantins;3906
17;Juarina;2174
17;Lagoa da Confusão;13989
17;Lagoa do Tocantins;4470
17;Lajeado;3199
17;Lavandeira;1984
17;Lizarda;3727
17;Luzinópolis;3200
17;Marianópolis do Tocantins;5332
17;Mateiros;2773
17;Maurilândia do Tocantins;3470
17;Miracema do Tocantins;17628
17;Miranorte;13551
17;Monte do Carmo;8182
17;Monte Santo do Tocantins;2311
17;Palmeiras do Tocantins;6830
17;Muricilândia;3623
17;Natividade;9256
17;Nazaré;3772
17;Nova Olinda;12014
17;Nova Rosalândia;4348
17;Novo Acordo;4450
17;Novo Alegre;2332
17;Novo Jardim;2768
17;Oliveira de Fátima;1124
17;Palmeirante;6234
17;Palmeirópolis;7694
17;Paraíso do Tocantins;52521
17;Paranã;10426
17;Pau D'Arco;4885
17;Pedro Afonso;13964
17;Peixe;11996
17;Pequizeiro;5546
17;Colméia;8078
17;Pindorama do Tocantins;4414
17;Piraquê;3038
17;Pium;7830
17;Ponte Alta do Bom Jesus;4586
17;Ponte Alta do Tocantins;8192
17;Porto Alegre do Tocantins;3200
17;Porto Nacional;53618
17;Praia Norte;8563
17;Presidente Kennedy;3668
17;Pugmil;2746
17;Recursolândia;4389
17;Riachinho;4723
17;Rio da Conceição;2211
17;Rio dos Bois;2879
17;Rio Sono;6498
17;Sampaio;4876
17;Sandolândia;3371
17;Santa Fé do Araguaia;7678
17;Santa Maria do Tocantins;3537
17;Santa Rita do Tocantins;2407
17;Santa Rosa do Tocantins;4864
17;Santa Tereza do Tocantins;2928
17;Santa Terezinha do Tocantins;2530
17;São Bento do Tocantins;5457
17;São Félix do Tocantins;1610
17;São Miguel do Tocantins;12445
17;São Salvador do Tocantins;3106
17;São Sebastião do Tocantins;4898
17;São Valério;3848
17;Silvanópolis;5452
17;Sítio Novo do Tocantins;8965
17;Sucupira;2007
17;Taguatinga;16966
17;Taipas do Tocantins;2183
17;Talismã;2831
17;Palmas;313349
17;Tocantínia;7688
17;Tocantinópolis;22820
17;Tupirama;1952
17;Tupiratins;2785
17;Wanderlândia;11783
17;Xambioá;11500
21;Açailândia;113783
21;Afonso Cunha;6631
21;Água Doce do Maranhão;12731
21;Alcântara;22126
21;Aldeias Altas;26979
21;Altamira do Maranhão;8250
21;Alto Alegre do Maranhão;28066
21;Alto Alegre do Pindaré;31967
21;Alto Parnaíba;11233
21;Amapá do Maranhão;7047
21;Amarante do Maranhão;42017
21;Anajatuba;27170
21;Anapurus;16054
21;Apicum-Açu;17582
21;Araguanã;15675
21;Araioses;47095
21;Arame;32825
21;Arari;30014
21;Axixá;12234
21;Bacabal;105094
21;Bacabeira;17446
21;Bacuri;18726
21;Bacurituba;5696
21;Balsas;96951
21;Barão de Grajaú;19026
21;Barra do Corda;88895
21;Barreirinhas;63891
21;Belágua;7586
21;Bela Vista do Maranhão;11347
21;Benedito Leite;5643
21;Bequimão;21317
21;Bernardo do Mearim;6102
21;Boa Vista do Gurupi;8494
21;Bom Jardim;42010
21;Bom Jesus das Selvas;35095
21;Bom Lugar;16578
21;Brejo;36900
21;Brejo de Areia;8841
21;Buriti;28916
21;Buriti Bravo;23993
21;Buriticupu;73595
21;Buritirana;15503
21;Cachoeira Grande;9524
21;Cajapió;11255
21;Cajari;19521
21;Campestre do Maranhão;14530
21;Cândido Mendes;20376
21;Cantanhede;22236
21;Capinzal do Norte;10937
21;Carolina;24151
21;Carutapera;24095
21;Caxias;166159
21;Cedral;10711
21;Central do Maranhão;8806
21;Centro do Guilherme;13876
21;Centro Novo do Maranhão;22056
21;Chapadinha;80705
21;Cidelândia;14855
21;Codó;123368
21;Coelho Neto;49804
21;Colinas;41443
21;Conceição do Lago-Açu;16559
21;Coroatá;65788
21;Cururupu;32559
21;Davinópolis;12923
21;Dom Pedro;23393
21;Duque Bacelar;11451
21;Esperantinópolis;16971
21;Estreito;43097
21;Feira Nova do Maranhão;8506
21;Fernando Falcão;10559
21;Formosa da Serra Negra;19425
21;Fortaleza dos Nogueiras;12662
21;Fortuna;17812
