COD UF;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA;CÓDIGO IBGE 
11;Alta Floresta D'Oeste;22516;1100015
11;Alto Alegre dos Parecis;13268;1100379
11;Alto Paraíso;22258;1100403
11;Alvorada D'Oeste;13807;1100346
11;Ariquemes;111148;1100023
11;Buritis;41043;1100452
11;Cabixi;5067;1100031
11;Cacaulândia;6307;1100601
11;Cacoal;86416;1100049
11;Campo Novo de Rondônia;14391;1100700
11;Candeias do Jamari;28068;1100809
11;Castanheiras;2923;1100908
11;Cerejeiras;16088;1100056
11;Chupinguaia;11755;1100924
11;Colorado do Oeste;15213;1100064
11;Corumbiara;7052;1100072
11;Costa Marques;19255;1100080
11;Cujubim;27131;1100940
11;Espigão D'Oeste;33009;1100098
11;Governador Jorge Teixeira;7130;1101005
11;Guajará-Mirim;46930;1100106
11;Itapuã do Oeste;10819;1101104
11;Jaru;51469;1100114
11;Ji-Paraná;131026;1100122
11;Machadinho D'Oeste;41724;1100130
11;Ministro Andreazza;9461;1101203
11;Mirante da Serra;10691;1101302
11;Monte Negro;16158;1101401
11;Nova Brasilândia D'Oeste;20504;1100148
11;Nova Mamoré;32184;1100338
11;Nova União;6822;1101435
11;Novo Horizonte do Oeste;8125;1100502
11;Ouro Preto do Oeste;35445;1100155
11;Parecis;6319;1101450
11;Pimenta Bueno;37098;1100189
11;Pimenteiras do Oeste;2127;1101468
11;Porto Velho;548952;1100205
11;Presidente Médici;18165;1100254
11;Primavera de Rondônia;2697;1101476
11;Rio Crespo;3843;1100262
11;Rolim de Moura;55748;1100288
11;Santa Luzia D'Oeste;5942;1100296
11;São Felipe D'Oeste;4962;1101484
11;São Francisco do Guaporé;21088;1101492
11;São Miguel do Guaporé;23147;1100320
11;Seringueiras;11846;1101500
11;Teixeirópolis;4160;1101559
11;Theobroma;10348;1101609
11;Urupá;11081;1101708
11;Vale do Anari;11545;1101757
11;Vale do Paraíso;6490;1101807
11;Vilhena;104517;1100304
12;Acrelândia;15721;1200013
12;Assis Brasil;7649;1200054
12;Brasiléia;27123;1200104
12;Bujari;10572;1200138
12;Capixaba;12280;1200179
12;Cruzeiro do Sul;89760;1200203
12;Epitaciolândia;18979;1200252
12;Feijó;34986;1200302
12;Jordão;8628;1200328
12;Mâncio Lima;19643;1200336
12;Manoel Urbano;9701;1200344
12;Marechal Thaumaturgo;19727;1200351
12;Plácido de Castro;20147;1200385
12;Porto Acre;19141;1200807
12;Porto Walter;12497;1200393
12;Rio Branco;419452;1200401
12;Rodrigues Alves;19767;1200427
12;Santa Rosa do Purus;6893;1200435
12;Sena Madureira;47168;1200500
12;Senador Guiomard;23446;1200450
12;Tarauacá;43730;1200609
12;Xapuri;19866;1200708
13;Alvarães;16396;1300029
13;Amaturá;11934;1300060
13;Anamã;14292;1300086
13;Anori;21937;1300102
13;Apuí;22739;1300144
13;Atalaia do Norte;20868;1300201
13;Autazes;41005;1300300
13;Barcelos;27772;1300409
13;Barreirinha;32919;1300508
